SystemID,Mô tả thô (Raw Input),Tiêu đề dự đoán (Pred Title),Mô tả dự đoán (Pred Desc),Thông số trích xuất (Specs),LLM_Accuracy_Score,LLM_Accuracy_Reason,LLM_Coherence_Score,LLM_Coherence_Reason,LLM_Specs_Score,LLM_Specs_Reason,Expert_Accuracy_Score (1-5),Expert_Coherence_Score (1-5),Expert_Specs_Score (1-5),Expert_Corrected_Description (Viết lại chuẩn nếu cần),Expert_Notes (Ghi chú lỗi)
SYS-20264727-938,"Nơ Trang Long 77.7/112.8 5 5.5 26 27.5 tỷ Bình Lợi Trung Bình Thạnh 25-50 tỷ HĐ Nguyễn Thị Anh Đào_ĐC Thiên Lam  H3GB nguồn Đối tác *AĐ QUẬN BÌNH THẠNHNHÀ MẶT TIỀN NƠ TRANG LONG, PHAN VĂN TRỊ, QUẬN BÌNH THẠNH  NHÀ  SIÊU PHẨM ĐẸP, 3 TẦNG  5,5 X 20,5 CHỈ HƠN 27,5TỶ Nơ Trang Long 77.7/112,8 5 5,5 20,5 27,5 tỷ,phường , Quận Bình Thạnh, 15 đến 30. HĐ Đầu chủ Anh Đào Phòng Thiên Lam  Hoa hồng 3% giá bán Nguồn : Đối tác Mô tả:+ Kết cấu: Nhà trệt, gác, 4 phòng ngủ, 5  wc, dòng tiền cho thuê 25 triệu /1 tháng, có thể thiết kế mở rộng thêm phòng, đầu tư thêm phòng cho thuê.+ BTCT: chuẩn, mot đời chủ, chủ tâm đắt xây dựng kiên cố và thiết kế thông thoáng + Vị trí :+ Khu vực: giao nhau Qua, thông ra Nguyễn Văn Đậu, Phan Văn Trị, giao thông lưu hành nhanh qua các Quận trung Tâm. Gò Vấp, Quận 1, Quận 4, Quận 5+ Nhà gần Chợ Bà Chiểu, trường học, siêu thị , Bách hóa, Khu vui chơi giải trí....+ Chủ cần bán gấp trong tết + Sổ hồng chính chủ, sổ tại gia. mua bán công chứng nhanh, chủ  hỗ trợ vay Khách thiện chí.+ Anh chị em khảo sát, tìm ra điểm mạnhcủa  căn nhà, dẫn khách chuẩn quy trình cty, báo trước ĐC ANH ĐÀO 60 phút, để được hỗ trợ tốt nhất.❤️ 🌹Chúc Anh Chị Em chốt nhà NHANH🌹",Nơ Trang Long Bình Thạnh - 77.7m2 (5.5x26.0) - Mặt tiền - 5 tầng - 27.5 Tỷ,"Nơ Trang Long 77.7/112.8 5 5.5 26 27.5 tỷ Bình Lợi Trung Bình Thạnh 25-50 tỷ HĐ Nguyễn Thị Anh Đào_ĐC Thiên Lam  H3GB nguồn Đối tác *AĐ QUẬN BÌNH THẠNHNHÀ MẶT TIỀN NƠ TRANG LONG, PHAN VĂN TRỊ, QUẬN BÌNH THẠNH  NHÀ  SIÊU PHẨM ĐẸP, 3 TẦNG  5,5 X 20,5 CHỈ HƠN 27,5TỶ Nơ Trang Long 77.7/112,8 5 5,5 20,5 27,5 tỷ,phường , Quận Bình Thạnh, 15 đến 30. Gò Vấp, Quận 1, Quận 4, Quận 5+ Nhà gần Chợ Bà Chiểu, trường học, siêu thị , Bách hóa, Khu vui chơi giải trí....+ Chủ cần bán gấp trong tết + Sổ hồng chính chủ, sổ tại gia.","{""duong"": ""Nơ Trang Long"", ""phuong"": null, ""quan"": ""Bình Thạnh"", ""gia_ty"": 27.5, ""dien_tich_m2"": 77.7, ""so_tang"": 5, ""mat_tien_m"": 5.5, ""chieu_sau_m"": 26.0, ""phan_loai_hem"": ""Mặt tiền""}",4,Thiếu thông tin đầy đủ và còn sót các ký tự rác.,2,Vẫn chứa nhiều thông tin liên hệ và văn phong môi giới rác.,3,"Bảo toàn được giá, diện tích nhưng thiếu các chi tiết quan trọng khác.",,,,,
SYS-MP75438B-O8,"Lê Văn Sỹ 46 4 4.6 10 12.8 tỷ Nhiêu Lộc Quận 3 10-15 tỷ HĐ Trần Thanh Chương Đại Nam  H3GB nguồn Đầu chủ Trần Thanh Chương - Đại Nam 🚗🏡 HOT QUẬN 3- LÊ VĂN SỸ- NHỈNH 12 TỶ 🌹🌹🌹+ HĐĐT chính chủ, HKĐC.  ✅ Vị trí đẹp, trung tâm, con đường thời trang Lê Văn Sỹ.  ✅ Hẻm xe hơi đỗ cửa, gần Mặt tiền.  ✅ Nhà 1 trệt 3 lầu, 4 phòng ngủ, lô góc thoáng mát, ngang lớn là 1 lợi thế. Nhà mới vào là ở luôn.  ✅ Sổ đẹp, hoàn công đủ, pháp lý sạch.",Hẻm xe hơi - 4 tầng,"✅ Hẻm xe hơi đỗ cửa, gần Mặt tiền. ✅ Nhà 1 trệt 3 lầu, 4 phòng ngủ, lô góc thoáng mát, ngang lớn là 1 lợi thế. ✅ Sổ đẹp, hoàn công đủ, pháp lý sạch.","{""duong"": null, ""phuong"": null, ""quan"": null, ""gia_ty"": null, ""dien_tich_m2"": null, ""so_tang"": 4, ""mat_tien_m"": null, ""chieu_sau_m"": null, ""phan_loai_hem"": ""Hẻm xe hơi""}",4,Thiếu thông tin giá và diện tích trong mô tả rút gọn.,5,"Mô tả mạch lạc, loại bỏ thành công các nội dung rác.",3,Bỏ sót nhiều thông số quan trọng như giá và diện tích.,,,,,
SYS-MP756313-W,"Điện Biên Phủ 38.7 4 4.1 7 8.5 tỷ Phường 11 Quận 10 5-10 tỷ HĐ Nguyễn Văn Cường Bảo Tín  H3GB nguồn Đầu chủ Nguyễn Văn Cường - Bảo Tín 💥 HẺM Ô TÔ ĐỖ CỬA SÁT MẶT TIỀN ĐIỆN BIÊN PHỦ, P11, QUẬN 10 - 38.7M2 NGANG 4M - 4 TẦNG - CHỈ 8.5 TỶ   Điện Biên Phủ 38.7 4 4/7.2 7.5 8.5 tỷ Phường 11 Quận 10, 5 đến 10, HĐ ĐC Nguyễn Cường,Khối Bảo Tín, Hoa Hồng 3% giá bán, nguồn ĐC Nguyễn Cường.   * Mô tả:    + Diện tích: cn 38.7m2, ngang 4.06m dài 7.5m. Nở hậu đẹp: 7.2m + Kết cấu : gồm 4 tầng BTCT, có 3 phòng ngủ, 4 toilet, sân thượng, + Hẻm trước nhà 4m sạch sẽ, an ninh,dân trí... + Vị trí trung tâm quận 10, khu kinh doanh sầm uất, đủ tiện ích, thuận tiện đi lại. + Nhà chính chủ lâu năm, chưa qua đầu tư.  + Pháp lí: Sổ hồng hoàn công    * Anh chị em dẫn khách ký phiếu YCCCDV đầy đủ và chuẩn quy trình, báo trước Đầu chủ 59 phút để được hỗ trợ tốt nhất., 💥 Chúc anh chị em chốt bùng nổ",Quận 10 - 11.0m2 (38.7x2.0) - Hẻm xe hơi - 10 tầng - 4.0 Tỷ,"💥 HẺM Ô TÔ ĐỖ CỬA SÁT MẶT TIỀN ĐIỆN BIÊN PHỦ, P11, QUẬN 10 - 38.7M2 NGANG 4M - 4 TẦNG - CHỈ 8.5 TỶ + Kết cấu : gồm 4 tầng BTCT, có 3 phòng ngủ, 4 toilet, sân thượng, + Pháp lí: Sổ hồng hoàn công","{""duong"": null, ""phuong"": null, ""quan"": ""Quận 10"", ""gia_ty"": 4.0, ""dien_tich_m2"": 11.0, ""so_tang"": 10, ""mat_tien_m"": 38.7, ""chieu_sau_m"": 2.0, ""phan_loai_hem"": ""Hẻm xe hơi""}",3,Sai lệch diện tích (11.0m2) và tầng (10 tầng) so với nguồn thô.,3,Vẫn còn thông tin giao dịch nội bộ như 'Hẻm xe hơi' chưa tối ưu.,3,Bỏ sót các thông số quan trọng: ngang/dài và diện tích chính xác.,,,,,
SYS-MP756P72-9B,"Cao Thắng 29.6/32 5 3.2 10 8.5 tỷ Bàn Cờ Quận 3 5-10 tỷ HĐ Lương Trần Tuyết Nhanh Tây Đô  H3GB nguồn Đầu chủ Lương Trần Tuyết Nhanh - Tây Đô CHỦ NHIỆT BÁN GIẢM 200TR, GIÁ CÒN 8,5 TỶ   NHÀ 5 TẦNG - HẺM 5M - NGAY CHỢ - DÒNG TIỀN ỔN ĐỊNH THU NHẬP 300TR/ NĂM - CAO THẮNG P3 QUẬN 3 TPHCM 🌺🌺Giá chỉ nhỉnh 8 tỷ   - Diện tích: 32m( 3,2x10)   - Thiết kế: 1 trệt 1 lửng 2 lầu, sân thượng với 4pn 5wc   - Nhà ngay chợ tiện kinh doanh buôn bán   - Cách đường Nguyễn Thiện Thuật  50m   - Hẻm thông bàn cờ, xe hơi tới cửa   - Dòng tiền ổn định, Đang cho thuê thu nhập 300tr/ năm   - Sổ đẹp, hoàn công chuẩn   - Hỗ trợ khách vay  - Thứ ba 24/3 nhà trống ace thoải mái dẫn khách nhé   🌹Ace ks đi hẻm 51 Nguyễn Thiện Thuật vào 50m là tới   Ace ks chụp selfie gửi hình lấy sổ, dẫn khách báo ĐC trước 60p. Chúc mn chốt nhà bùng nổ nhé🌹",NHÀ Quận 3 - Hẻm thông - 5 tầng,"NHÀ 5 TẦNG - HẺM 5M - NGAY CHỢ - DÒNG TIỀN ỔN ĐỊNH THU NHẬP 300TR/ NĂM - CAO THẮNG P3 QUẬN 3 TPHCM - Sổ đẹp, hoàn công chuẩn 🌹Ace ks đi hẻm 51 Nguyễn Thiện Thuật vào 50m là tới","{""duong"": ""NHÀ"", ""phuong"": null, ""quan"": ""Quận 3"", ""gia_ty"": null, ""dien_tich_m2"": null, ""so_tang"": 5, ""mat_tien_m"": null, ""chieu_sau_m"": null, ""phan_loai_hem"": ""Hẻm thông""}",4,Thiếu thông tin chủ sở hữu/nguồn gốc (H3GB) nhưng không sai lệch.,2,"Vẫn còn các cụm từ rác như 'Ace ks', 'Chúc mn chốt nhà bùng nổ'.",5,"Bảo toàn đầy đủ: Quận 3, Cao Thắng, 32m², 8.5 tỷ.",,,,,
SYS-MP757WNV-DN,"Cách mạng tháng 8 44 2 3.7 12 7.5 tỷ Hòa Hưng Quận 10 5-10 tỷ HĐ Nguyễn Trần Ngọc Linh Tâm Đức  H3GB nguồn Đầu chủ Nguyễn Trần Ngọc Linh - Tâm Đức 🚗🏡 QUẬN 10 - XE HƠI TỚI NHÀ - 44M2 - HƠN 100M RA MẶT TIỀN 👉 CHỈ 7.5 TỶ      Cách Mạng Tháng Tám 44 2 3.7 12 7.5 tỷ Phường 13 Quận 10 6 đến 10 HĐ ĐC Ngọc Linh Phòng Tâm Đức , HH3%, nguồn ĐC Ngọc Linh.     💥 Mô tả:   + Vị trí đẹp, gần Tô Hiến Thành - Hoà Hưng, thuận tiện qua Quận 1, 3.  + Hiện trạng: 1 trệt 1 lầu, 3 PN, 2 vệ sinh.   + Xe hơi tới nhà, sát mặt tiền, khu vực kinh doanh sầm uất.   + Chủ gấp bán đi định cư.      + Anh em dẫn khách vui lòng báo ĐC Ngọc Linh trước 30 phút để được hỗ trợ tốt.     + Chúc anh em chốt nhà bùng nổ.🌹🌹Facebook: Nguyễn Linh",Quận 10 - 10.0m2 (2.0x100.0) - Hẻm xe hơi - 44 tầng - 7.5 Tỷ,"🚗🏡 QUẬN 10 - XE HƠI TỚI NHÀ - 44M2 - HƠN 100M RA MẶT TIỀN 👉 CHỈ 7.5 TỶ + Vị trí đẹp, gần Tô Hiến Thành - Hoà Hưng, thuận tiện qua Quận 1, 3. + Xe hơi tới nhà, sát mặt tiền, khu vực kinh doanh sầm uất.","{""duong"": null, ""phuong"": null, ""quan"": ""Quận 10"", ""gia_ty"": 7.5, ""dien_tich_m2"": 10.0, ""so_tang"": 44, ""mat_tien_m"": 2.0, ""chieu_sau_m"": 100.0, ""phan_loai_hem"": ""Hẻm xe hơi""}",4,Thiếu thông tin pháp lý (sổ hồng) và tầng nhà trong mô tả rút gọn.,3,Vẫn còn các cụm từ quảng cáo rác như 'sầm uất' và thiếu tính mạch lạc cao.,4,Bỏ sót thông tin về kết cấu (2 tầng) và pháp lý quan trọng trong mô tả.,,,,,
SYS-MP758TA8-AN,"Lê Văn Sỹ 32.5 4 2.8 10 8.3 tỷ Phường 13 Quận 3 5-10 tỷ HĐ Phạm Thanh Hải Tâm Đức  H3GB nguồn Đầu chủ Phạm Thanh Hải - Tâm Đức HIẾM -HẺM XE HƠI ĐỖ CỬA LÊ VĂN SỸ Q3 - NHÀ ĐẸP - TRỆT, 3 LẦU, SÂN THƯỢNG - NỞ HẬU TÀI LỘC - CHỈ NHỈNH 8 TỶ     Lê Văn Sỹ 32.5 4 2.75/4.25 10 8.3 Tỷ Phường 13 Quận 3 5 đến 10 HĐ Đầu chủ Hải - Phòng Tâm Đức , H3%, nguồn Đầu chủ Hải.  *hdcc - ký với chị gái chủ      Mô tả:   + Trung tâm kinh đô thời trang Lê Văn Sỹ, Quận 3 - Phường Nhiêu Lộc Mới.   + Kết cấu: 4 tầng BTCT - Trệt, 3 lầu, sân thượng hoàn công đủ.  Gồm: khách, bếp, 3 PN, 4 vệ sinh, ban công, sân thượng lớn.   + Hẻm xe hơi đỗ cửa, thông Trần Quang Diệu  + Hàng xóm đồng bộ cao tầng, dân trí cao.   + Sổ sạch, pháp lý chuẩn chỉnh, hoàn công đủ, công chứng mua bán ngay.     🌹 Anh chị em khảo sát inbox gửi ảnh tự sướng tới Đầu chủ để nhận sổ tư vấn khách, dẫn khách ký phiếu YCCCDV đầy đủ và chuẩn quy trình báo trước Đầu chủ Hải 60 phút để VIẾT CỌC nhé ạ.  Facebook: Phạm Thanh Hải   Phòng Tâm Đức     🌹🌽",Quận 3 - Hẻm thông - 4 tầng,"+ Trung tâm kinh đô thời trang Lê Văn Sỹ, Quận 3 - Phường Nhiêu Lộc Mới. + Kết cấu: 4 tầng BTCT - Trệt, 3 lầu, sân thượng hoàn công đủ. + Sổ sạch, pháp lý chuẩn chỉnh, hoàn công đủ, công chứng mua bán ngay.","{""duong"": null, ""phuong"": null, ""quan"": ""Quận 3"", ""gia_ty"": null, ""dien_tich_m2"": null, ""so_tang"": 4, ""mat_tien_m"": null, ""chieu_sau_m"": null, ""phan_loai_hem"": ""Hẻm thông""}",4,Hầu hết thông tin chính xác; thiếu chi tiết diện tích và ngang.,3,Loại bỏ được rác nhưng vẫn còn văn phong quảng cáo chưa tự nhiên.,4,"Giữ lại tốt các thông số cốt lõi: Quận, tầng, giá và vị trí hẻm.",,,,,
SYS-MP759ESN-94,"Lê Văn Sỹ 35/40 3 3.1 13 8 tỷ Nhiêu Lộc Quận 3 5-10 tỷ HĐ Nguyễn Triệu Đức Trung Thiên Địa  H3GB nguồn Đầu chủ Nguyễn Triệu Đức Trung - Thiên Địa 🌷HẺM NHỰA XE TẢI SẠCH ĐẸP, 2 MẶT HẺM TRƯỚC SAU, CÓ CỬA SAU - KHU VIP DÂN TRÍ - ĐANG CHO THUÊ, PHÙ HỢP VỪA Ở VỪA KINH DOANH - 3 TẦNG LUNG LINH, VUÔNG ĐÉT, HOÀN CÔNG, CC NGAY🌷   🔎Định vị: Lưu ý: Nhà cho thuê, ACE dẫn khách xem clip và vị trí ạ. 🧭Hướng Bắc. 💥 Khu vip Q3 dân trí cao, hẻm nhựa xe tải sạch đẹp thông tứ tung, hẻm sau nhà 5m, phù hợp làm văn phòng/kinh doanh, đang cho người quen thuê giữ nhà 12tr/tháng. 🔥Kết cấu: 1 trệt 1 lửng 1 lầu, 4pn, 3wc, cửa sổ, ban công trước và sau nhà, có cửa ra vào sau nhà. 🔥Sổ vuông vức, hoàn công, pháp lý chuẩn, công chứng ngay.   Facebook: Triệu Trung.",Hẻm xe tải - 2 tầng,"🌷HẺM NHỰA XE TẢI SẠCH ĐẸP, 2 MẶT HẺM TRƯỚC SAU, CÓ CỬA SAU - KHU VIP DÂN TRÍ - ĐANG CHO THUÊ, PHÙ HỢP VỪA Ở VỪA KINH DOANH - 3 TẦNG LUNG LINH, VUÔNG ĐÉT, HOÀN CÔNG, CC NGAY🌷 🔥Kết cấu: 1 trệt 1 lửng 1 lầu, 4pn, 3wc, cửa sổ, ban công trước và sau nhà, có cửa ra vào sau nhà. 🔥Sổ vuông vức, hoàn công, pháp lý chuẩn, công chứng ngay.","{""duong"": null, ""phuong"": null, ""quan"": null, ""gia_ty"": null, ""dien_tich_m2"": null, ""so_tang"": 2, ""mat_tien_m"": null, ""chieu_sau_m"": null, ""phan_loai_hem"": ""Hẻm xe tải""}",4,Thiếu thông tin diện tích và tên đường cụ thể trong mô tả rút gọn.,3,Vẫn giữ lại các ký hiệu cảm xúc (emoji) và văn phong quảng cáo chưa tối ưu.,4,Bỏ sót thông tin diện tích và tên đường cụ thể trong phần rút gọn.,,,,,
SYS-MP759ZIK-MM,"Nguyễn Thiện Thuật 30.7 2 3.1 11 8.2 tỷ Bàn Cờ Quận 3 5-10 tỷ HĐ Nguyễn Thị Kim Thoa_ĐC Linh Phát  H3GB nguồn Đầu chủ Nguyễn Thị Kim Thoa_ĐC - Linh Phát VỊ TRÍ ĐẸP - KINH DOANH - HXT THÔNG TỨ TUNG + Kết cấu: 1 trệt, 1 lầu. , + Nhà cũ. Sửa lại ở với 2PN 1WC. , + HXT thông tứ tung, vị trí kinh doanh. , + Vị trí an ninh sạch sẽ. Dân trí cao. , + Sổ hồng chính chủ. công chứng ngay. ,",Hẻm xe tải,"VỊ TRÍ ĐẸP - KINH DOANH - HXT THÔNG TỨ TUNG + HXT thông tứ tung, vị trí kinh doanh. công chứng ngay.","{""duong"": null, ""phuong"": null, ""quan"": null, ""gia_ty"": null, ""dien_tich_m2"": null, ""so_tang"": null, ""mat_tien_m"": null, ""chieu_sau_m"": null, ""phan_loai_hem"": ""Hẻm xe tải""}",4,Thiếu thông số diện tích và tầng; còn sót chữ viết tắt.,3,"Tiêu đề tốt nhưng mô tả vẫn lủng củng, chưa hoàn toàn tự nhiên.",3,Bỏ sót diện tích và kích thước; chỉ giữ lại các thông tin cơ bản.,,,,,
SYS-MP75AKU9-9R,"Cách Mạng Tháng 8 57.6/65 2 4.3 15 8 tỷ Nhiêu Lộc Quận 3 5-10 tỷ HĐ Vũ Hoàng Giang Thiên Ngọc  H3GB nguồn Hội đồng thẩm định ✅ Chủ điều chỉnh lại giá bán lên 8ty    🔥🔥🔥7.3TỶ CHỐT TRƯỚC NGÀY 10/3 -  THU 💵💵💵 THÔI ACE   💥💥💥GIẢM CHÀO MẠNH ĐỂ BÁN NHANH - ANH EM CHÀO KHÁCH TRỰC TIẾP GIÁ 7.5TỶ   Cách Mạng Tháng 8 57.6/65 4.28 12.19/15 7.7tỷ Phường Nhiêu Lộc TPHCM (Phường 9 cũ), 6 đến 10 HĐ ĐC Vũ Giang, Phòng Thiên Ngọc , H3%, nguồn ĐC Vũ Giang.   ✅BÁN NHÀ HẺM 210 CÁCH MẠNG THÁNG TÁM – QUẬN 3, XE HƠI ĐẦU CÁCH NHÀ HƠN 10m   ➡️Vị trí: Hẻm 210 Cách Mạng Tháng Tám, phường Nhiêu Lộc, Quận 3 gần ngay Ga Đường Sắt Sài Gòn   ✅Diện tích: 65m² (ngang 4.3m x dài 15m) đất vuông vức   ✅Kết cấu hiện trạng: 1 trệt – 1 lầu, 3 phòng ngủ Phòng khách & bếp rộng rãi, thoáng mát, có khoảng sân trước sau. Nhà ở tốt, sử dụng ngay ✳️Khu vực được phép xây cao đến 6 tầng. Phù hợp để ở hoặc xây căn hộ dịch vụ   ❇️Tiện ích xung quanh: - Gần chợ, trường học, khu dân cư hiện hữu, Ga Sài Gòn - Trung tâm Quận 3, di chuyển thuận tiện các quận trung tâm   💰 Giá bán: 8 tỷ (Ngân hàng hỗ trợ vay lên đến gần 7 tỷ)   ☎️Giang Sang:  * Anh chị em dẫn khách đúng quy trình và báo trước ĐC Giang Sang 45Phut. Xin Cám ơn!,",Quận 3 - Hẻm xe hơi - 2 tầng,"✅BÁN NHÀ HẺM 210 CÁCH MẠNG THÁNG TÁM – QUẬN 3, XE HƠI ĐẦU CÁCH NHÀ HƠN 10m ➡️Vị trí: Hẻm 210 Cách Mạng Tháng Tám, phường Nhiêu Lộc, Quận 3 gần ngay Ga Đường Sắt Sài Gòn ✅Kết cấu hiện trạng: 1 trệt – 1 lầu, 3 phòng ngủ","{""duong"": null, ""phuong"": null, ""quan"": ""Quận 3"", ""gia_ty"": null, ""dien_tich_m2"": null, ""so_tang"": 2, ""mat_tien_m"": null, ""chieu_sau_m"": null, ""phan_loai_hem"": ""Hẻm xe hơi""}",4,Giữ nguyên giá và diện tích chính xác; bỏ qua các thông tin quảng cáo.,3,Loại bỏ được rác nhưng vẫn còn văn phong chưa tự nhiên.,4,"Bảo toàn tốt vị trí, diện tích và giá bán cốt lõi.",,,,,
SYS-MP75ES0J-9K,"Huỳnh Văn Bánh 38 5 4.8 8 8.95 tỷ Phú Nhuận Phú Nhuận 5-10 tỷ HĐ Đặng Đình Trung Hiếu_ĐC Hắc Long  H3GB nguồn Đầu chủ Đặng Đình Trung Hiếu_ĐC - Hắc Long Giảm 250tr còn 8.95 tỷ     Ký hợp đồng điện tử     🌺5 TẦNG - 38M2 - AN NINH - HẺM XE HƠI- HƠN 8 TỶ💎        🍀Mô tả:  _ Kết cấu : Trệt 4 lầu hoàn công đủ.  _ Gồm: 4 phòng ngủ, 5 tolet, phòng khách, bếp.   _ Hẻm xe hơi đỗ cửa, cách mặt tiền đường 100m.  _ Vị trí: Gần chợ, Trường học các cấp, thuận lợi di chuyển trung tâm Sài Gòn.  _ Sổ hồng riêng, công chứng trong ngày.     💡LƯU Ý : ,,  💥💥💥 Anh chị em ký phiếu YCDV dẫn khách theo quy trình công ty. Đầu chủ Đặng Hiếu đã soạn sẵn HĐ Đặt cọc, chỉ chờ anh em Thiên Khôi đến ký.✍️✍️✍️,,🌹🌹🌹🌹💥💥💥🌹🌹🌹🌹",5.0m2 (2.0x8.0) - Hẻm xe hơi - 38 tầng - 4.0 Tỷ,"🌺5 TẦNG - 38M2 - AN NINH - HẺM XE HƠI- HƠN 8 TỶ💎 _ Kết cấu : Trệt 4 lầu hoàn công đủ. _ Hẻm xe hơi đỗ cửa, cách mặt tiền đường 100m.","{""duong"": null, ""phuong"": null, ""quan"": null, ""gia_ty"": 4.0, ""dien_tich_m2"": 5.0, ""so_tang"": 38, ""mat_tien_m"": 2.0, ""chieu_sau_m"": 8.0, ""phan_loai_hem"": ""Hẻm xe hơi""}",3,Bỏ sót thông tin quan trọng (Quận/Tên đường) và thiếu tính chính xác.,2,Vẫn còn các cụm từ giao dịch nội bộ chưa được loại bỏ hoàn toàn.,3,Bỏ sót tên quận/đường và không thể hiện rõ diện tích ngang x dài.,,,,,
